name,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
Brian Hill,00-0033567,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,78,323.0,2,0.0,0.0,19.0,-6.986916255206344,0,10,14,69.0,1,0.0,0.0,21.0,54.0,4.0,1.8286578823281685,0,24.848484848484848,0.3591817395016978,0.05554843022470102,0.5776565104098373,0.0,57.2,67.2,10,0.03286384976525822,0.006304413089162414,0.04817127564674398,0.05433930511921726,0.02271231073074391,0.07142857142857142,0.025157232704402517,0.028901734104046242,0.04707044107965767,0.032455562870309415,0.1619718309859155,0.06954218064409305
Brian Hoyer,00-0026625,2019,REG,35,65,372.0,4,4.0,5.0,47.0,2,1,559.0,157.0,22.0,-26.09413856433026,0,1.5720193187916283,-0.004989654741987072,8,2.0,0,0.0,0.0,0.0,-3.9506511330255307,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21.080000000000002,21.080000000000002,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06491746735649175
Bryan Anger,00-0029692,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,-5.0,0,0.0,0.0,0.0,-0.24312528234440833,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005674080798910576
Buddy Howell,00-0034449,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,10.0,0,0.0,0.0,1.0,0.6504707983403932,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.007736345350456445
Byron Pringle,00-0034297,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,12,16,170.0,1,0.0,0.0,178.0,63.0,7.0,7.159080135519616,0,19.743207282913165,0.44160541035541034,0.47422259990762433,0.9943639354684525,0.0,23.0,35.0,6,0.07111111111111111,0.08416075650118203,0.07,0.17399527186761227,0.09725400457665904,0.1111111111111111,0.09333333333333334,0.09523809523809523,0.10418255784388508,0.10002542588354947,0.7555555555555555,0.06324310650139134
C.J. Anderson,00-0029854,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,16,43.0,0,0.0,0.0,1.0,-6.984056212066207,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.3,4.3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02126607319485658
C.J. Board,00-0033367,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,4,31.0,0,0.0,0.0,31.0,6.0,1.0,-0.2528004284831695,0,2.1011904761904763,0.10389610389610389,0.0929451287793953,0.22090574598973256,0.0,3.1000000000000005,5.1000000000000005,2,0.05263157894736842,0.049441786283891544,0.025,0.11850079744816586,0.060784313725490195,0.0,0.04,0.037037037037037035,0.030392156862745098,0.04862745098039216,0.40789473684210525,0.03578947368421053
C.J. Ham,00-0032918,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,7,17.0,0,0.0,0.0,2.0,-5.83434106700588,0,17,26,149.0,1,0.0,0.0,41.0,125.0,6.0,0.6549290770569396,0,-31.564102564102562,0.8953806695186005,0.2418438530926905,1.5123617014427841,0.0,22.6,39.6,13,0.06483790523690773,0.013598673300165837,0.0832778147901399,0.10813579649549426,0.04945237305011616,0.047619047619047616,0.041666666666666664,0.04242424242424243,0.048535710334581886,0.04908570796390246,0.371571072319202,0.035243231697549
C.J. Prosise,00-0032393,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,23,72.0,1,1.0,1.0,4.0,-7.898931277624797,0,10,12,76.0,0,0.0,0.0,51.0,66.0,3.0,2.613289289176464,0,5.165853658536585,0.32815993788819875,0.172691560527235,0.6131239992013626,0.0,18.8,28.8,8,0.042704626334519574,0.018240343347639486,0.07829181494661921,0.07864921417989096,0.034830430797433545,0.0,0.030927835051546393,0.027522935779816515,0.017415215398716773,0.027864344637946837,0.2704626334519573,0.03894102057924768
C.J. Uzomah,00-0032134,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,27,40,242.0,2,0.0,0.0,156.0,135.0,12.0,3.221565894107811,0,15.038591898297781,1.1334508368947662,0.5506604725649051,2.085638586137583,0.0,36.2,63.2,13,0.07984031936127745,0.03855659911023233,0.09955752212389381,0.15060575833010204,0.07469135802469136,0.14285714285714285,0.07547169811320754,0.08092485549132948,0.1087742504409171,0.08832451499118166,0.48303393213572854,0.061015640084958495
Calvin Ridley,00-0034837,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,34.0,0,0.0,0.0,2.0,2.014208789623808,0,63,93,866.0,7,0.0,0.0,1246.0,138.0,47.0,46.648113319561965,1,9.553894842014225,2.274407610180033,3.5437455574755945,5.892233305502966,0.0,134.0,197.0,13,0.16939890710382513,0.27217125382262997,0.08897485493230174,0.4718353637138417,0.20907774022211492,0.28,0.23039215686274508,0.23580786026200873,0.24453887011105746,0.22326219217769194,1.5774134790528234,0.14891751330430575
Cam Newton,00-0027939,2019,REG,50,89,572.0,0,1.0,6.0,43.0,0,0,793.0,204.0,29.0,-6.708514380294688,0,1.604201680672269,-0.019599258073954087,5,-2.0,0,2.0,2.0,0.0,-9.367492925957777,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.68,16.68,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.10645902476384989
Cam Sims,00-0034104,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,3,27.0,0,0.0,0.0,35.0,8.0,1.0,1.9953935709781945,0,1.6428571428571428,0.08416988416988416,0.13836671802773498,0.22311152887424074,0.0,2.7,4.7,2,0.04,0.06363636363636363,0.03773584905660377,0.1109090909090909,0.0531496062992126,0.0,0.041666666666666664,0.03571428571428571,0.0265748031496063,0.042519685039370085,0.36,0.025694292586923243
